class                precision    recall  f1-score   support

accept                  0.7200    1.0000    0.8372        18
alive                   0.9259    1.0000    0.9615        25
answer                  1.0000    0.8750    0.9333        24
ask                     0.9565    0.9167    0.9362        24
awake                   0.9600    1.0000    0.9796        24
excuse_me               0.9167    0.9167    0.9167        24
goodbye                 0.8214    0.9200    0.8679        25
hello                   1.0000    0.8519    0.9200        27
help                    0.9600    1.0000    0.9796        24
how                     1.0000    0.7083    0.8293        24
join                    1.0000    0.8333    0.9091        24
no                      0.8261    0.7600    0.7917        25
please                  0.9630    0.9630    0.9630        27
question                0.9474    0.7500    0.8372        24
respect                 1.0000    0.9524    0.9756        21
sorry                   0.9643    1.0000    0.9818        27
start                   0.9200    0.9583    0.9388        24
thank_you               0.9524    0.7407    0.8333        27
welcome                 0.9259    1.0000    0.9615        25
what                    0.7778    0.8750    0.8235        24
when                    0.9200    0.9583    0.9388        24
where                   0.8000    1.0000    0.8889        24
who                     0.7600    0.7917    0.7755        24
why                     0.8462    0.9167    0.8800        24
yes                     0.7692    0.8333    0.8000        24

accuracy                                    0.8995       607
macro avg               0.9053    0.9009    0.8984       607
weighted avg                                0.8991       607
